Publisher Name,Series Name,Full Title,Release Date,My Rating
Marvel Comics,Giant-Size X-Men: Storm (2020),Giant-Size X-Men: Storm #1,2020-09-16,
Magnetic Press,Giantess (2022 - Present),Giantess GN,2022-09-21,5.0
Image Comics,Head Lopper (2015 - 2021),Head Lopper #1,2015-09-09,
Image Comics,Head Lopper (2015 - 2021),Head Lopper #2,2015-12-09,
Image Comics,Head Lopper (2015 - 2021),Head Lopper #3,2016-03-09,
Image Comics,Head Lopper (2015 - 2021),Head Lopper #4,2016-06-08,
Image Comics,Head Lopper (2015 - 2021),Head Lopper #5,2017-03-15,
Image Comics,Head Lopper (2015 - 2021),Head Lopper #6,2017-06-21,
Image Comics,Head Lopper (2015 - 2021),Head Lopper #7,2017-09-20,
Image Comics,Head Lopper (2015 - 2021),Head Lopper #8,2018-01-10,
Image Comics,Head Lopper (2015 - 2021),Head Lopper #9,2018-09-12,
Image Comics,Head Lopper (2015 - 2021),Head Lopper #10,2018-12-12,
Image Comics,Head Lopper (2015 - 2021),Head Lopper #11,2019-03-13,
Image Comics,Head Lopper (2015 - 2021),Head Lopper #12,2019-06-26,
Image Comics,Head Lopper (2015 - 2021),Head Lopper #13,2020-09-16,
Image Comics,Head Lopper (2015 - 2021),Head Lopper #14,2020-12-16,
Image Comics,Head Lopper (2015 - 2021),Head Lopper #15,2021-03-17,
Image Comics,Head Lopper (2015 - 2021),Head Lopper #16,2021-07-28,
Marvel Comics,Hellions (2020 - 2021),Hellions #12,2021-06-02,
Marvel Comics,House of X / Powers of X (2019),House of X / Powers of X TP,2020-08-26,
IDW Publishing,The Hunger and the Dusk (2023 - 2024),The Hunger and the Dusk #1,2023-07-12,
IDW Publishing,The Hunger and the Dusk (2023 - 2024),The Hunger and the Dusk #2,2023-08-30,
IDW Publishing,The Hunger and the Dusk (2023 - 2024),The Hunger and the Dusk #3,2023-10-11,
IDW Publishing,The Hunger and the Dusk (2023 - 2024),The Hunger and the Dusk #4,2023-12-06,
IDW Publishing,The Hunger and the Dusk (2023 - 2024),The Hunger and the Dusk #5,2024-01-03,
IDW Publishing,The Hunger and the Dusk (2023 - 2024),The Hunger and the Dusk #6,2024-02-14,
Marvel Comics,Immoral X-Men (2023),Immoral X-Men #1,2023-02-22,4.0
Marvel Comics,Immoral X-Men (2023),Immoral X-Men #2,2023-03-15,4.0
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #1,2018-06-06,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #2,2018-07-04,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #3,2018-07-18,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #4,2018-08-01,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #5,2018-09-05,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #6,2018-09-19,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #7,2018-10-10,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #8,2018-11-07,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #9,2018-11-21,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #10,2018-12-05,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #11,2019-01-02,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #12,2019-01-23,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #13,2019-02-06,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #14,2019-03-06,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #15,2019-03-20,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #16,2019-04-03,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #17,2019-05-15,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #18,2019-05-29,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #19,2019-06-12,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #20,2019-07-03,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #21,2019-07-17,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #22,2019-08-07,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #23,2019-09-04,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #24,2019-10-02,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #25,2019-10-23,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #26,2019-11-06,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #27,2019-11-20,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #28,2019-12-11,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #29,2020-01-08,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #30,2020-01-29,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #31,2020-02-12,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #32,2020-03-11,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #33,2020-03-25,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #34,2020-06-24,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #35,2020-07-15,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #36,2020-08-12,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #0,2020-09-16,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #37,2020-09-16,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #38,2020-10-14,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #39,2020-10-28,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #40,2020-11-18,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #41,2020-12-16,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #42,2021-01-13,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #43,2021-02-03,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #44,2021-03-10,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #45,2021-04-07,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #46,2021-05-05,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #47,2021-06-02,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #48,2021-07-07,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #49,2021-08-04,
Marvel Comics,The Immortal Hulk (2018 - 2021),The Immortal Hulk #50,2021-10-13,
Marvel Comics,Immortal X-Men (2022 - 2023),Immortal X-Men #1,2022-03-30,
Marvel Comics,Immortal X-Men (2022 - 2023),Immortal X-Men #2,2022-05-18,
Marvel Comics,Immortal X-Men (2022 - 2023),Immortal X-Men #3,2022-06-22,
Marvel Comics,Immortal X-Men (2022 - 2023),Immortal X-Men #4,2022-07-13,
Marvel Comics,Immortal X-Men (2022 - 2023),Immortal X-Men #5,2022-08-03,
Marvel Comics,Immortal X-Men (2022 - 2023),Immortal X-Men #6,2022-09-07,
Marvel Comics,Immortal X-Men (2022 - 2023),Immortal X-Men #7,2022-10-12,
Marvel Comics,Immortal X-Men (2022 - 2023),Immortal X-Men #8,2022-11-16,
Marvel Comics,Immortal X-Men (2022 - 2023),Immortal X-Men #9,2022-12-07,4.0
Marvel Comics,Immortal X-Men (2022 - 2023),Immortal X-Men #10,2023-01-18,4.0
Marvel Comics,Immortal X-Men (2022 - 2023),Immortal X-Men #11,2023-05-03,4.0
Marvel Comics,Immortal X-Men (2022 - 2023),Immortal X-Men #12,2023-06-07,4.0
Marvel Comics,Immortal X-Men (2022 - 2023),Immortal X-Men #13,2023-07-12,4.0
Marvel Comics,Immortal X-Men (2022 - 2023),Immortal X-Men #14,2023-08-09,5.0
Marvel Comics,Immortal X-Men (2022 - 2023),Immortal X-Men #15,2023-09-06,5.0
Marvel Comics,Immortal X-Men (2022 - 2023),Immortal X-Men #16,2023-10-04,4.0
Marvel Comics,Immortal X-Men (2022 - 2023),Immortal X-Men #17,2023-11-22,5.0
Marvel Comics,Immortal X-Men (2022 - 2023),Immortal X-Men #18,2023-12-27,5.0
Marvel Comics,Inferno (Vol. 2) (2021 - 2022),Inferno #1,2021-09-29,
Marvel Comics,Inferno (Vol. 2) (2021 - 2022),Inferno #2,2021-10-27,
Marvel Comics,Inferno (Vol. 2) (2021 - 2022),Inferno #3,2021-12-08,
Marvel Comics,Inferno (Vol. 2) (2021 - 2022),Inferno #4,2022-01-05,
DC Comics,Infinite Frontier (2021),Infinite Frontier #0,2021-03-02,
DC Comics,Infinite Frontier (2021),Infinite Frontier #1,2021-06-22,
DC Comics,Infinite Frontier (2021),Infinite Frontier #2,2021-07-13,
DC Comics,Infinite Frontier (2021),Infinite Frontier #3,2021-07-27,
DC Comics,Infinite Frontier (2021),Infinite Frontier #4,2021-08-10,
DC Comics,Infinite Frontier (2021),Infinite Frontier #5,2021-08-31,
DC Comics,Infinite Frontier (2021),Infinite Frontier #6,2021-09-07,
DC Comics,Infinite Frontier: Secret Files (2021),Infinite Frontier: Secret Files #1,2021-06-29,
Image Comics,Invincible (2003 - 2018),Invincible #1,2003-01-22,
Image Comics,Invincible (2003 - 2018),Invincible #2,2003-02-19,
Image Comics,Invincible (2003 - 2018),Invincible #3,2003-03-26,
Image Comics,Invincible (2003 - 2018),Invincible #4,2003-05-21,
Image Comics,Invincible (2003 - 2018),Invincible #5,2003-07-23,
Image Comics,Invincible (2003 - 2018),Invincible #6,2003-11-12,
Image Comics,Invincible (2003 - 2018),Invincible #7,2004-01-02,
Image Comics,Invincible (2003 - 2018),Invincible #8,2004-02-04,
Image Comics,Invincible (2003 - 2018),Invincible #9,2004-03-24,
Image Comics,Invincible (2003 - 2018),Invincible #10,2004-04-14,
Image Comics,Invincible (2003 - 2018),Invincible #11,2004-05-05,
Image Comics,Invincible (2003 - 2018),Invincible #12,2004-05-19,
Image Comics,Invincible (2003 - 2018),Invincible #13,2004-06-30,
Image Comics,Invincible (2003 - 2018),Invincible #14,2004-08-11,
Image Comics,Invincible (2003 - 2018),Invincible #15,2004-09-01,
Image Comics,Invincible (2003 - 2018),Invincible #16,2004-09-29,
Image Comics,Invincible (2003 - 2018),Invincible #17,2004-11-24,
Image Comics,Invincible (2003 - 2018),Invincible #18,2004-12-29,
Image Comics,Invincible (2003 - 2018),Invincible #19,2005-01-19,
Image Comics,Invincible (2003 - 2018),Invincible #20,2005-02-23,
Image Comics,Invincible (2003 - 2018),Invincible #21,2005-03-16,
Image Comics,Invincible (2003 - 2018),Invincible #22,2005-04-20,
Image Comics,Invincible (2003 - 2018),Invincible #0,2005-04-27,
Image Comics,Invincible (2003 - 2018),Invincible #23,2005-06-01,
Image Comics,Invincible (2003 - 2018),Invincible #24,2005-07-13,
Image Comics,Invincible (2003 - 2018),Invincible #25,2005-08-24,
Image Comics,Invincible (2003 - 2018),Invincible #26,2005-09-28,
Image Comics,Invincible (2003 - 2018),Invincible #27,2005-11-23,
Image Comics,Invincible (2003 - 2018),Invincible #28,2006-02-08,
Image Comics,Invincible (2003 - 2018),Invincible #29,2006-03-08,
Image Comics,Invincible (2003 - 2018),Invincible #30,2006-03-29,
Image Comics,Invincible (2003 - 2018),Invincible #31,2006-04-26,
Image Comics,Invincible (2003 - 2018),Invincible #32,2006-06-07,
Image Comics,Invincible (2003 - 2018),Invincible #33,2006-06-28,
Image Comics,Invincible (2003 - 2018),Invincible #34,2006-07-01,
Image Comics,Invincible (2003 - 2018),Invincible #35,2006-09-01,
Image Comics,Invincible (2003 - 2018),Invincible #36,2006-10-01,
Image Comics,Invincible (2003 - 2018),Invincible #37,2006-12-06,
Image Comics,Invincible (2003 - 2018),Invincible #38,2007-01-24,
Image Comics,Invincible (2003 - 2018),Invincible #39,2007-02-21,
Image Comics,Invincible (2003 - 2018),Invincible #40,2007-04-09,
Image Comics,Invincible (2003 - 2018),Invincible #41,2007-05-09,
Image Comics,Invincible (2003 - 2018),Invincible #42,2007-06-06,
Image Comics,Invincible (2003 - 2018),Invincible #43,2007-06-27,
Image Comics,Invincible (2003 - 2018),Invincible #44,2007-07-25,
Image Comics,Invincible (2003 - 2018),Invincible #45,2007-08-22,
Image Comics,Invincible (2003 - 2018),Invincible #46,2007-11-21,
Image Comics,Invincible (2003 - 2018),Invincible #47,2007-12-01,
Image Comics,Invincible (2003 - 2018),Invincible #48,2008-02-20,
Image Comics,Invincible (2003 - 2018),Invincible #49,2008-03-19,
Image Comics,Invincible (2003 - 2018),Invincible #50,2008-06-11,
Image Comics,Invincible (2003 - 2018),Invincible #51,2008-07-23,
Image Comics,Invincible (2003 - 2018),Invincible #52,2008-09-10,
Image Comics,Invincible (2003 - 2018),Invincible #53,2008-10-01,
Image Comics,Invincible (2003 - 2018),Invincible #54,2008-10-22,
Image Comics,Invincible (2003 - 2018),Invincible #55,2008-11-19,
Image Comics,Invincible (2003 - 2018),Invincible #56,2008-12-10,
Image Comics,Invincible (2003 - 2018),Invincible #57,2008-12-24,
Image Comics,Invincible (2003 - 2018),Invincible #58,2009-01-14,
Image Comics,Invincible (2003 - 2018),Invincible #59,2009-02-18,
Image Comics,Invincible (2003 - 2018),Invincible #60,2009-03-18,
Image Comics,Invincible (2003 - 2018),Invincible #61,2009-04-22,
Image Comics,Invincible (2003 - 2018),Invincible #62,2009-05-20,
Image Comics,Invincible (2003 - 2018),Invincible #63,2009-06-17,
Image Comics,Invincible (2003 - 2018),Invincible #64,2009-07-22,
Image Comics,Invincible (2003 - 2018),Invincible #65,2009-08-19,
Image Comics,Invincible (2003 - 2018),Invincible #66,2009-09-23,
Image Comics,Invincible (2003 - 2018),Invincible #67,2009-10-21,
Image Comics,Invincible (2003 - 2018),Invincible #68,2009-11-18,
Image Comics,Invincible (2003 - 2018),Invincible #69,2009-12-23,
Image Comics,Invincible (2003 - 2018),Invincible #70,2010-02-17,
Image Comics,Invincible (2003 - 2018),Invincible #71,2010-04-28,
Image Comics,Invincible (2003 - 2018),Invincible #72,2010-06-02,
Image Comics,Invincible (2003 - 2018),Invincible #73,2010-06-30,
Image Comics,Invincible (2003 - 2018),Invincible #74,2010-08-25,
Image Comics,Invincible (2003 - 2018),Invincible #75,2010-11-03,
Image Comics,Invincible (2003 - 2018),Invincible #76,2010-12-22,
Image Comics,Invincible (2003 - 2018),Invincible #77,2011-02-02,
Image Comics,Invincible (2003 - 2018),Invincible #78,2011-03-23,
Image Comics,Invincible (2003 - 2018),Invincible #79,2011-04-20,
Image Comics,Invincible (2003 - 2018),Invincible #80,2011-06-15,
Image Comics,Invincible (2003 - 2018),Invincible #81,2011-07-27,
Image Comics,Invincible (2003 - 2018),Invincible #82,2011-08-31,
Image Comics,Invincible (2003 - 2018),Invincible #83,2011-10-05,
Image Comics,Invincible (2003 - 2018),Invincible #84,2011-11-02,
Image Comics,Invincible (2003 - 2018),Invincible #85,2011-11-23,
Image Comics,Invincible (2003 - 2018),Invincible #86,2011-12-21,
Image Comics,Invincible (2003 - 2018),Invincible #87,2012-01-11,
Image Comics,Invincible (2003 - 2018),Invincible #88,2012-02-01,
Image Comics,Invincible (2003 - 2018),Invincible #89,2012-02-29,
Image Comics,Invincible (2003 - 2018),Invincible #90,2012-04-04,
Image Comics,Invincible (2003 - 2018),Invincible #91,2012-05-09,
Image Comics,Invincible (2003 - 2018),Invincible #92,2012-06-13,
Image Comics,Invincible (2003 - 2018),Invincible #93,2012-07-04,
Image Comics,Invincible (2003 - 2018),Invincible #94,2012-08-22,
Image Comics,Invincible (2003 - 2018),Invincible #95,2012-09-26,
Image Comics,Invincible (2003 - 2018),Invincible #96,2012-10-24,
Image Comics,Invincible (2003 - 2018),Invincible #97,2012-11-14,
Image Comics,Invincible (2003 - 2018),Invincible #98,2012-12-05,
Image Comics,Invincible (2003 - 2018),Invincible #99,2013-01-02,
Image Comics,Invincible (2003 - 2018),Invincible #100,2013-01-30,
Image Comics,Invincible (2003 - 2018),Invincible #101,2013-03-20,
Image Comics,Invincible (2003 - 2018),Invincible #102,2013-04-24,
Image Comics,Invincible (2003 - 2018),Invincible #103,2013-06-19,
Image Comics,Invincible (2003 - 2018),Invincible #104,2013-07-17,
Image Comics,Invincible (2003 - 2018),Invincible #105,2013-09-04,
Image Comics,Invincible (2003 - 2018),Invincible #106,2013-10-16,
Image Comics,Invincible (2003 - 2018),Invincible #107,2013-12-11,
Image Comics,Invincible (2003 - 2018),Invincible #108,2014-01-29,
Image Comics,Invincible (2003 - 2018),Invincible #109,2014-03-12,
Image Comics,Invincible (2003 - 2018),Invincible #110,2014-04-09,
Image Comics,Invincible (2003 - 2018),Invincible #111,2014-05-21,
Image Comics,Invincible (2003 - 2018),Invincible #112,2014-06-25,
Image Comics,Invincible (2003 - 2018),Invincible #113,2014-08-06,
Image Comics,Invincible (2003 - 2018),Invincible #114,2014-09-10,
Image Comics,Invincible (2003 - 2018),Invincible #115,2014-11-19,
Image Comics,Invincible (2003 - 2018),Invincible #116,2015-01-21,
Image Comics,Invincible (2003 - 2018),Invincible #117,2015-02-18,
Image Comics,Invincible (2003 - 2018),Invincible #118,2015-03-25,
Image Comics,Invincible (2003 - 2018),Invincible #119,2015-04-29,
Image Comics,Invincible (2003 - 2018),Invincible #120,2015-05-27,
Image Comics,Invincible (2003 - 2018),Invincible #121,2015-07-15,
Image Comics,Invincible (2003 - 2018),Invincible #122,2015-08-19,
Image Comics,Invincible (2003 - 2018),Invincible #123,2015-09-16,
Image Comics,Invincible (2003 - 2018),Invincible #124,2015-10-21,
Image Comics,Invincible (2003 - 2018),Invincible #125,2015-11-18,
Image Comics,Invincible (2003 - 2018),Invincible #126,2015-12-16,
Image Comics,Invincible (2003 - 2018),Invincible #127,2016-04-20,
Image Comics,Invincible (2003 - 2018),Invincible #128,2016-05-18,
Image Comics,Invincible (2003 - 2018),Invincible #129,2016-06-15,
Image Comics,Invincible (2003 - 2018),Invincible #130,2016-08-24,
Image Comics,Invincible (2003 - 2018),Invincible #131,2016-11-16,
Image Comics,Invincible (2003 - 2018),Invincible #132,2017-02-01,
Image Comics,Invincible (2003 - 2018),Invincible #133,2017-02-15,
Image Comics,Invincible (2003 - 2018),Invincible #134,2017-03-15,
Image Comics,Invincible (2003 - 2018),Invincible #135,2017-04-19,
Image Comics,Invincible (2003 - 2018),Invincible #136,2017-05-17,
Image Comics,Invincible (2003 - 2018),Invincible #137,2017-06-21,
Image Comics,Invincible (2003 - 2018),Invincible #138,2017-07-19,
Image Comics,Invincible (2003 - 2018),Invincible #139,2017-08-16,
Image Comics,Invincible (2003 - 2018),Invincible #140,2017-09-20,
Image Comics,Invincible (2003 - 2018),Invincible #141,2017-10-18,
Image Comics,Invincible (2003 - 2018),Invincible #142,2017-11-15,
Image Comics,Invincible (2003 - 2018),Invincible #143,2017-12-20,
Image Comics,Invincible (2003 - 2018),Invincible #144,2018-02-14,
Marvel Comics,Jean Grey (Vol. 2) (2023),Jean Grey #1,2023-08-23,4.0
Marvel Comics,Jean Grey (Vol. 2) (2023),Jean Grey #2,2023-09-27,4.0
Marvel Comics,Jean Grey (Vol. 2) (2023),Jean Grey #3,2023-10-25,4.0
Marvel Comics,Jean Grey (Vol. 2) (2023),Jean Grey #4,2023-11-15,3.0
DC Comics,Jurassic League (2022),Jurassic League #1,2022-05-10,
DC Comics,Jurassic League (2022),Jurassic League #2,2022-06-14,
DC Comics,Jurassic League (2022),Jurassic League #3,2022-07-19,
DC Comics,Jurassic League (2022),Jurassic League #4,2022-08-09,
DC Comics,Jurassic League (2022),Jurassic League #5,2022-09-13,
DC Comics,Jurassic League (2022),Jurassic League #6,2022-10-11,
DC Comics,Justice League (Vol. 4) (2018 - 2022),Justice League #75,2022-04-26,
DC Comics,Justice League Incarnate (Vol. 1) (2021 - 2022),Justice League Incarnate #1,2021-11-30,
DC Comics,Justice League Incarnate (Vol. 1) (2021 - 2022),Justice League Incarnate #2,2021-12-21,
DC Comics,Justice League Incarnate (Vol. 1) (2021 - 2022),Justice League Incarnate #3,2022-01-04,
DC Comics,Justice League Incarnate (Vol. 1) (2021 - 2022),Justice League Incarnate #4,2022-02-01,
DC Comics,Justice League Incarnate (Vol. 1) (2021 - 2022),Justice League Incarnate #5,2022-03-01,
DC Comics,Justice League: Road to Dark Crisis (2022),Justice League: Road to Dark Crisis #1,2022-05-31,
Drawn and Quarterly,Killing and Dying (2018),Killing and Dying HC,2015-10-14,
DC Comics,Kingdom Come (1996),Kingdom Come #1,1996-05-08,
DC Comics,Kingdom Come (1996),Kingdom Come #2,1996-06-12,
DC Comics,Kingdom Come (1996),Kingdom Come #3,1996-07-10,
DC Comics,Kingdom Come (1996),Kingdom Come #4,1996-08-14,
BOOM! Studios,Klaus (2015 - 2016),Klaus #1,2015-11-04,4.0
BOOM! Studios,Klaus (2015 - 2016),Klaus #2,2015-12-16,4.0
BOOM! Studios,Klaus (2015 - 2016),Klaus #3,2016-02-03,4.0
BOOM! Studios,Klaus (2015 - 2016),Klaus #4,2016-03-23,4.0
BOOM! Studios,Klaus (2015 - 2016),Klaus #5,2016-05-04,4.0
BOOM! Studios,Klaus (2015 - 2016),Klaus #6,2016-06-15,4.0
BOOM! Studios,Klaus (2015 - 2016),Klaus #7,2016-08-17,5.0
DC Comics,Knight Terrors (2023),Knight Terrors #1,2023-07-11,
DC Comics,Knight Terrors (2023),Knight Terrors #2,2023-07-25,
DC Comics,Knight Terrors (2023),Knight Terrors #3,2023-08-08,
DC Comics,Knight Terrors (2023),Knight Terrors #4,2023-08-22,
DC Comics,Knight Terrors: Batman (2023),Knight Terrors: Batman #1,2023-07-04,
DC Comics,Knight Terrors: Batman (2023),Knight Terrors: Batman #2,2023-08-01,
DC Comics,Knight Terrors: First Blood (2023),Knight Terrors: First Blood #1,2023-07-04,
DC Comics,Knight Terrors: Night's End (2023),Knight Terrors: Night's End #1,2023-08-29,
DC Comics,Knight Terrors: Nightwing (2023),Knight Terrors: Nightwing #1,2023-07-18,
DC Comics,Knight Terrors: Nightwing (2023),Knight Terrors: Nightwing #2,2023-08-15,
DC Comics,Knight Terrors: Poison Ivy (2023),Knight Terrors: Poison Ivy #1,2023-07-04,
DC Comics,Knight Terrors: Poison Ivy (2023),Knight Terrors: Poison Ivy #2,2023-08-01,
DC Comics,Knight Terrors: Robin (2023),Knight Terrors: Robin #1,2023-07-11,
DC Comics,Knight Terrors: Robin (2023),Knight Terrors: Robin #2,2023-08-08,
DC Comics,Knight Terrors: The Flash (2023),Knight Terrors: The Flash #1,2023-07-11,
DC Comics,Knight Terrors: The Flash (2023),Knight Terrors: The Flash #2,2023-08-08,
DC Comics,Knight Terrors: Titans (2023),Knight Terrors: Titans #1,2023-07-25,
DC Comics,Knight Terrors: Titans (2023),Knight Terrors: Titans #2,2023-08-22,
DC Comics,Lazarus Planet: Alpha (2023),Lazarus Planet: Alpha #1,2023-01-10,
DC Comics,Lazarus Planet: Assault on Krypton (2023),Lazarus Planet: Assault on Krypton #1,2023-01-17,
DC Comics,Lazarus Planet: Dark Fate (2023),Lazarus Planet: Dark Fate #1,2023-02-14,
DC Comics,Lazarus Planet: Legends Reborn (2023),Lazarus Planet: Legends Reborn #1,2023-01-31,
DC Comics,Lazarus Planet: Next Evolution (2023),Lazarus Planet: Next Evolution #1,2023-02-07,
DC Comics,Lazarus Planet: Omega (2023),Lazarus Planet: Omega #1,2023-02-21,
DC Comics,Lazarus Planet: Revenge of the Gods (2023),Lazarus Planet: Revenge of the Gods #1,2023-03-14,
DC Comics,Lazarus Planet: Revenge of the Gods (2023),Lazarus Planet: Revenge of the Gods #2,2023-03-28,
DC Comics,Lazarus Planet: Revenge of the Gods (2023),Lazarus Planet: Revenge of the Gods #3,2023-04-11,
DC Comics,Lazarus Planet: Revenge of the Gods (2023),Lazarus Planet: Revenge of the Gods #4,2023-04-25,
DC Comics,Lazarus Planet: We Once Were Gods (2023),Lazarus Planet: We Once Were Gods #1,2023-01-24,
Abrams Books,Leviathan (2024 - 2025),Leviathan Vol. 1 TP,2024-10-29,5.0
Marvel Comics,The Magnificent Ms. Marvel (2019 - 2021),The Magnificent Ms. Marvel Annual #1,2019-07-03,
Marvel Comics,The Magnificent Ms. Marvel (2019 - 2021),The Magnificent Ms. Marvel #1,2019-03-13,
Marvel Comics,The Magnificent Ms. Marvel (2019 - 2021),The Magnificent Ms. Marvel #2,2019-04-17,
Marvel Comics,The Magnificent Ms. Marvel (2019 - 2021),The Magnificent Ms. Marvel #3,2019-05-29,
Marvel Comics,The Magnificent Ms. Marvel (2019 - 2021),The Magnificent Ms. Marvel #4,2019-06-26,
Marvel Comics,The Magnificent Ms. Marvel (2019 - 2021),The Magnificent Ms. Marvel #5,2019-07-24,
Marvel Comics,The Magnificent Ms. Marvel (2019 - 2021),The Magnificent Ms. Marvel #6,2019-08-21,
Marvel Comics,The Magnificent Ms. Marvel (2019 - 2021),The Magnificent Ms. Marvel #7,2019-09-18,
Marvel Comics,The Magnificent Ms. Marvel (2019 - 2021),The Magnificent Ms. Marvel #8,2019-10-09,
Marvel Comics,The Magnificent Ms. Marvel (2019 - 2021),The Magnificent Ms. Marvel #9,2019-11-06,
Marvel Comics,The Magnificent Ms. Marvel (2019 - 2021),The Magnificent Ms. Marvel #10,2019-12-04,
Marvel Comics,The Magnificent Ms. Marvel (2019 - 2021),The Magnificent Ms. Marvel #11,2020-01-08,
Marvel Comics,The Magnificent Ms. Marvel (2019 - 2021),The Magnificent Ms. Marvel #12,2020-02-05,
Marvel Comics,The Magnificent Ms. Marvel (2019 - 2021),The Magnificent Ms. Marvel #13,2020-03-04,
Marvel Comics,The Magnificent Ms. Marvel (2019 - 2021),The Magnificent Ms. Marvel #14,2020-09-09,
Marvel Comics,The Magnificent Ms. Marvel (2019 - 2021),The Magnificent Ms. Marvel #15,2020-10-07,
Marvel Comics,The Magnificent Ms. Marvel (2019 - 2021),The Magnificent Ms. Marvel #16,2020-11-11,
Marvel Comics,The Magnificent Ms. Marvel (2019 - 2021),The Magnificent Ms. Marvel #17,2020-12-16,
Marvel Comics,The Magnificent Ms. Marvel (2019 - 2021),The Magnificent Ms. Marvel #18,2021-02-24,
BOOM! Studios,Mamo (2021),Mamo TP,2022-04-13,
BOOM! Studios,Man's Best (2024 - Present),Man's Best #1,2024-03-20,4.0
BOOM! Studios,Man's Best (2024 - Present),Man's Best #2,2024-04-24,4.0
BOOM! Studios,Man's Best (2024 - Present),Man's Best #3,2024-05-22,4.0
BOOM! Studios,Man's Best (2024 - Present),Man's Best #4,2024-06-19,4.0
BOOM! Studios,Man's Best (2024 - Present),Man's Best #5,2024-07-17,4.0
BOOM! Studios,The Many Deaths of Laila Starr (2021),The Many Deaths of Laila Starr #1,2021-04-21,
BOOM! Studios,The Many Deaths of Laila Starr (2021),The Many Deaths of Laila Starr #2,2021-05-19,
BOOM! Studios,The Many Deaths of Laila Starr (2021),The Many Deaths of Laila Starr #3,2021-06-16,
BOOM! Studios,The Many Deaths of Laila Starr (2021),The Many Deaths of Laila Starr #4,2021-07-21,
BOOM! Studios,The Many Deaths of Laila Starr (2021),The Many Deaths of Laila Starr #5,2021-09-01,
Marvel Comics,Marauders (Vol. 1) (2019 - 2022),Marauders #21,2021-06-02,
